trial,answer,height,width,x1,y1,stim_color1,probe_color1,x2,y2,stim_color2,probe_color2,x3,y3,stim_color3,probe_color3,x4,y4,stim_color4,probe_color4,x5,y5,stim_color5,probe_color5
1,probe2,0.05,0.05,-0.2,0.2,#009e73,#009e73,-0.1,0.2,#f0e442,#e69f00,-0.1,0,#0072b2,#0072b2,0,-0.2,#cc79a7,#cc79a7,0,0.2,#d55e00,#d55e00
2,probe5,0.05,0.05,0,0.1,#009e73,#009e73,0.2,0.1,#4A4A4A,#4A4A4A,-0.1,-0.1,#cc79a7,#cc79a7,0.1,0.1,#d55e00,#d55e00,0,-0.1,#56b4e9,#e69f00
3,probe4,0.05,0.05,0.1,-0.1,#56b4e9,#56b4e9,0.2,0,#f0e442,#f0e442,0.2,-0.1,#e69f00,#e69f00,-0.1,0.1,#4A4A4A,#009e73,-0.1,0.2,#d55e00,#d55e00
4,probe5,0.05,0.05,0.2,0,#56b4e9,#56b4e9,-0.2,-0.2,#cc79a7,#cc79a7,0,0.2,#4A4A4A,#4A4A4A,0.2,-0.2,#e69f00,#e69f00,-0.2,0,#f0e442,#009e73
5,probe3,0.05,0.05,-0.2,0.1,#4A4A4A,#4A4A4A,0.2,0.2,#009e73,#009e73,-0.1,-0.1,#0072b2,#f0e442,0.2,0,#cc79a7,#cc79a7,0.1,0.1,#e69f00,#e69f00
6,probe4,0.05,0.05,-0.1,0.1,#d55e00,#d55e00,-0.2,0.2,#0072b2,#0072b2,0,-0.1,#e69f00,#e69f00,0,0.2,#56b4e9,#4A4A4A,-0.2,-0.2,#009e73,#009e73
7,probe4,0.05,0.05,0.2,-0.1,#56b4e9,#56b4e9,-0.1,-0.1,#e69f00,#e69f00,-0.2,0.2,#009e73,#009e73,0.2,0.2,#cc79a7,#4A4A4A,0.2,-0.2,#d55e00,#d55e00
8,probe4,0.05,0.05,-0.2,0.1,#e69f00,#e69f00,0.1,0.2,#cc79a7,#cc79a7,0.2,0.1,#4A4A4A,#4A4A4A,-0.2,0.2,#56b4e9,#d55e00,0.2,-0.1,#0072b2,#0072b2
9,probe5,0.05,0.05,-0.1,0,#4A4A4A,#4A4A4A,0.1,0.1,#56b4e9,#56b4e9,-0.2,0.1,#009e73,#009e73,0.2,0.1,#cc79a7,#cc79a7,0.2,0.2,#d55e00,#f0e442
10,probe3,0.05,0.05,0.2,0.2,#f0e442,#f0e442,0.1,-0.1,#e69f00,#e69f00,0,0.1,#cc79a7,#4A4A4A,-0.2,0.1,#56b4e9,#56b4e9,0.2,0,#0072b2,#0072b2
11,probe5,0.05,0.05,0.2,0.2,#4A4A4A,#4A4A4A,0.1,0.2,#0072b2,#0072b2,0.1,-0.1,#cc79a7,#cc79a7,0,-0.2,#009e73,#009e73,0.1,-0.2,#f0e442,#d55e00
12,probe4,0.05,0.05,-0.1,-0.1,#009e73,#009e73,-0.1,0,#56b4e9,#56b4e9,-0.1,-0.2,#0072b2,#0072b2,0.1,0,#d55e00,#f0e442,0,-0.1,#cc79a7,#cc79a7
13,probe4,0.05,0.05,0,-0.1,#f0e442,#f0e442,0.1,-0.1,#d55e00,#d55e00,0.1,0.1,#0072b2,#0072b2,-0.2,0.2,#cc79a7,#4A4A4A,0.1,0.2,#009e73,#009e73
14,probe5,0.05,0.05,0,0.2,#cc79a7,#cc79a7,0,-0.1,#4A4A4A,#4A4A4A,-0.2,0,#56b4e9,#56b4e9,0.1,0.1,#0072b2,#0072b2,0.1,0.2,#009e73,#e69f00
15,probe3,0.05,0.05,0.2,0.2,#cc79a7,#cc79a7,0,0.2,#56b4e9,#56b4e9,0.2,0.1,#d55e00,#4A4A4A,0.1,-0.1,#f0e442,#f0e442,0.2,-0.1,#0072b2,#0072b2
16,probe3,0.05,0.05,-0.2,-0.1,#f0e442,#f0e442,-0.2,0.2,#d55e00,#d55e00,0.1,0.1,#009e73,#4A4A4A,-0.2,0.1,#56b4e9,#56b4e9,0,-0.1,#cc79a7,#cc79a7
17,probe3,0.05,0.05,0.2,-0.1,#cc79a7,#cc79a7,0,-0.2,#0072b2,#0072b2,0,0.1,#4A4A4A,#e69f00,-0.2,-0.1,#f0e442,#f0e442,-0.1,-0.1,#009e73,#009e73
18,probe3,0.05,0.05,-0.1,0.1,#d55e00,#d55e00,-0.1,0.2,#e69f00,#e69f00,0.2,0,#009e73,#0072b2,0.1,-0.1,#cc79a7,#cc79a7,-0.2,0.2,#4A4A4A,#4A4A4A
19,probe3,0.05,0.05,-0.1,0.2,#0072b2,#0072b2,0,-0.1,#4A4A4A,#4A4A4A,-0.1,0.1,#e69f00,#009e73,0.2,0.1,#d55e00,#d55e00,-0.2,0.1,#cc79a7,#cc79a7
20,probe4,0.05,0.05,0.2,0,#56b4e9,#56b4e9,-0.1,0.2,#009e73,#009e73,-0.2,-0.2,#e69f00,#e69f00,0,-0.1,#f0e442,#cc79a7,-0.1,0,#4A4A4A,#4A4A4A
